종목명,회차,총발행금액 (₩),결의일,발행일,사모공모여부,만기이자율 (%),표면이자율 (%),리픽싱비율 (%),풋옵션최초도래일,콜옵션최초도래일,콜가능비율 (%),발행자별인수금액 (₩),기발행사채만기일
에코테크 주식회사,1,500000000,2023-01-15,2023-02-01,사모,3.5,4.0,1.2,2025-01-15,2026-01-15,30.0,200000000,2027-02-01
파워블룸 에너지,2,300000000,2023-03-10,2023-04-05,공모,4.0,4.5,1.5,2026-03-10,2027-03-10,25.0,150000000,2028-04-05
그린웨이브 솔루션,1,450000000,2023-05-20,2023-06-10,사모,3.8,4.2,1.3,2026-05-20,2027-05-20,28.0,180000000,2029-06-10
네오솔루션 주식회사,3,200000000,2023-07-15,2023-08-01,공모,4.2,4.7,1.4,2027-07-15,2028-07-15,20.0,100000000,2029-08-01
바이오젠 주식회사,2,1000000000,2023-09-10,2023-09-25,사모,3.6,4.1,1.1,2028-09-10,2029-09-10,35.0,400000000,2030-09-25
퓨처모빌 주식회사,1,150000000,2023-10-05,2023-10-20,공모,4.1,4.6,1.6,2026-10-05,2027-10-05,22.0,90000000,2028-10-20
텔레콤브 통신회사,4,600000000,2023-11-12,2023-12-01,사모,3.9,4.4,1.3,2026-11-12,2027-11-12,27.0,250000000,2028-12-01
헬스케어24 주식회사,3,350000000,2024-01-08,2024-01-25,공모,4.3,4.8,1.7,2027-01-08,2028-01-08,24.0,130000000,2029-01-25
로보스마트 로보틱스,2,800000000,2024-02-15,2024-03-01,사모,3.7,4.3,1.2,2027-02-15,2028-02-15,29.0,300000000,2029-03-01
클라우드X 서비스,1,700000000,2024-04-10,2024-04-25,공모,4.0,4.5,1.4,2027-04-10,2028-04-10,26.0,220000000,2029-04-25
에듀테크 교육회사,2,500000000,2024-05-18,2024-06-05,사모,3.5,4.0,1.1,2027-05-18,2028-05-18,31.0,180000000,2029-06-05
퀀텀코어 반도체,1,1500000000,2024-07-22,2024-08-10,공모,4.5,5.0,1.5,2028-07-22,2029-07-22,30.0,600000000,2030-08-10
뉴에너지 주식회사,3,900000000,2024-09-05,2024-09-20,사모,3.9,4.4,1.3,2028-09-05,2029-09-05,32.0,280000000,2030-09-20
스마트홈 테크,2,400000000,2024-10-12,2024-10-28,공모,4.1,4.6,1.4,2028-10-12,2029-10-12,23.0,160000000,2030-10-28
드론테크 솔루션,3,1200000000,2024-11-18,2024-12-05,사모,3.8,4.3,1.2,2028-11-18,2029-11-18,28.0,350000000,2030-12-05
모바일팜 테크,1,100000000,2025-01-10,2025-01-25,공모,4.2,4.7,1.5,2028-01-10,2029-01-10,21.0,80000000,2030-01-25
친환경 솔루션,4,850000000,2025-02-14,2025-03-01,사모,3.6,4.1,1.2,2028-02-14,2029-02-14,34.0,270000000,2030-03-01
인공지능 주식회사,4,1100000000,2025-03-20,2025-04-05,공모,4.4,4.9,1.6,2028-03-20,2029-03-20,27.0,320000000,2030-04-05
빅데이터 분석회사,5,650000000,2025-04-25,2025-05-10,사모,3.7,4.2,1.3,2028-04-25,2029-04-25,29.0,200000000,2030-05-10
로지스틱스 통합,3,1300000000,2025-06-15,2025-07-01,공모,4.3,4.8,1.5,2028-06-15,2029-06-15,25.0,400000000,2030-07-01
스마트시티 인프라,2,500000000,2025-07-20,2025-08-05,사모,3.5,4.0,1.1,2028-07-20,2029-07-20,30.0,150000000,2030-08-05

